"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","estimated-ltsf-next-charge","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","weeks-of-cover","weeks-of-cover-estimated-excess-quantity","recommended-order-quantity","recommended-order-date","restock-plus-seller-eligible","restock-plus-seller-opted","restock-plus-suggested-weeks-of-cover","restock-plus-storage-incentives","restock-plus-total-incentives","proposed-restock-plus-cover-start-date","proposed-restock-plus-cover-end-date","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)"
"2026-06-03","ARHA02G005376","X0028LLF9H","B091BZLQY5","Generic Lavender Scented Candles - 10 Pieces","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_home","","","0","","","85.07","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","DTHIHBIRT007","X001ORU2CH","B0B53SWHJ7","elyassin Silicone hanging flexible silicone hanger 6 hooks 15.7x3.25 inch","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","29.97","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","IHKPA0002","X001SBGLM9","B08YN64GQ1","Kitchen water splash guard sink water splash proof - panda","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_tools","","","0","","","65.56","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","ARHKG006364","X0027R4MOH","B0BRG34YGV","HOMEZILLA Silicone Cleaning Brush for Glass Bottles, Steel Bottles, Plastic Bottles, Feeding Bottles and Thermos Flasks 1pcs","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","15.38","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","IHB0008","X001SBQNU9","B091J63RT9","Portal 3pc Plastic Wire Brush Set, BR-30","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_home","","","0","","","29.73","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","02ARHA07G001434","X0028LKFOD","B091J3Q87P","Slaughtering stainless steel spatula","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_home","","","0","","","234.0","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","01ARHA07G001295","X0028LMS5H","B084YXFLPG","YumLock Glass Teapot with Removable Infuser, Stovetop Safe Teapot for Loose Leaf and Blooming Tea, 1000ML Clear Teapots with Bamboo Lid (Assorted Colors)","","0","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","Standard","","EG","gl_kitchen","","","0","","","207.0","","","","","","","","0","","","0","0","0","0","0","0","0.0","0","","","false","","","","","","","","0","0","0","0",""
"2026-06-03","OOMR002","X0024B8T0T","B07PN7BDVM","GSM Brands Aluminum Geometric Triangle Measuring Ruler for Architects, Engineers, Students, 12 (30.48cm)","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_office_product","","","0","","","157.0","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","ARSTA01D654836","X0028LL0H9","B093G3MPY9","Prima flash ballpoint pen set of 6 assorted colors - multi color","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_office_product","","","0","","","28.27","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","KITCGRATER001","X002E2SPPH","B0FP2VB4TL","Box Pro Premium 3-in-1 Cone Grater (26cm) – Heavy Duty Stainless Steel Cheese & Vegetable Shredder with Ergonomic Wooden Handle & Non-Slip Base – Professional Grade Kitchen Grater","New","20","0","2","18","0","0","0","EGP","0","0.0","0","0.0","0","0","2","9","Low traffic","144.02","0.0","144.02","0.0","Advertise listing","0.38","0.001567","cubic meter","Standard","0.031334","EG","gl_kitchen","","366","0","","28","144.02","0.0","0.0","288.04","1103.09","0","1","1","0","0","","0","0","0","0","0","0","52.0","18","0","","false","","","0.0","0.0","","","2026-05-27","20","0","0","0","366"
